order_id,customer_id,order_date,exported_at,amount,currency,status,country_code,source_system
ORD-000001,CUS-0030,2026-07-01,2026-07-01T23:01:39Z,106668.93,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000002,CUS-0029,2026-07-01,2026-07-01T23:07:22Z,162295.18,INR,PAID,IN,ACME_COMMERCE
ORD-000003,CUS-0030,2026-07-01,2026-07-01T23:07:56Z,69396.62,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000004,CUS-0029,2026-07-01,2026-07-01T23:07:21Z,156840.16,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000005,CUS-0016,2026-07-01,2026-07-01T23:09:31Z,233056.97,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000006,CUS-0006,2026-07-01,2026-07-01T23:08:37Z,156454.20,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000007,CUS-0024,2026-07-01,2026-07-01T23:06:50Z,160151.46,USD,REFUNDED,US,ACME_COMMERCE
ORD-000008,CUS-0028,2026-07-01,2026-07-01T23:03:35Z,210249.61,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000009,CUS-0025,2026-07-01,2026-07-01T23:02:14Z,188689.69,INR,PAID,IN,ACME_COMMERCE
ORD-000010,CUS-0039,2026-07-01,2026-07-01T23:00:30Z,49.65,USD,PAID,US,ACME_COMMERCE
ORD-000011,CUS-0018,2026-07-01,2026-07-01T23:05:06Z,27728.29,INR,PENDING,IN,ACME_COMMERCE
ORD-000012,CUS-0031,2026-07-01,2026-07-01T23:04:22Z,124251.85,INR,PENDING,IN,ACME_COMMERCE
ORD-000013,CUS-0005,2026-07-01,2026-07-01T23:02:19Z,181162.55,USD,PENDING,US,ACME_COMMERCE
ORD-000014,CUS-0020,2026-07-01,2026-07-01T23:07:28Z,72076.98,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000015,CUS-0032,2026-07-01,2026-07-01T23:03:52Z,50760.39,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000016,CUS-0034,2026-07-01,2026-07-01T23:06:36Z,11736.51,INR,PAID,IN,ACME_COMMERCE
ORD-000017,CUS-0010,2026-07-01,2026-07-01T23:03:24Z,231434.10,INR,PAID,IN,ACME_COMMERCE
ORD-000018,CUS-0028,2026-07-01,2026-07-01T23:00:07Z,74907.05,INR,PENDING,IN,ACME_COMMERCE
ORD-000019,CUS-0020,2026-07-01,2026-07-01T23:00:28Z,15461.22,INR,PENDING,IN,ACME_COMMERCE
ORD-000020,CUS-0005,2026-07-01,2026-07-01T23:06:32Z,40249.01,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000021,CUS-0002,2026-07-01,2026-07-01T23:02:40Z,17824.42,INR,PENDING,IN,ACME_COMMERCE
ORD-000022,CUS-0008,2026-07-01,2026-07-01T23:00:41Z,110934.08,INR,PAID,IN,ACME_COMMERCE
ORD-000023,CUS-0032,2026-07-01,2026-07-01T23:06:42Z,126001.91,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000024,CUS-0004,2026-07-01,2026-07-01T23:08:09Z,78333.82,INR,PAID,IN,ACME_COMMERCE
ORD-000025,CUS-0029,2026-07-01,2026-07-01T23:00:02Z,17020.32,USD,PENDING,US,ACME_COMMERCE
ORD-000026,CUS-0010,2026-07-01,2026-07-01T23:09:45Z,242407.41,INR,PAID,IN,ACME_COMMERCE
ORD-000027,CUS-0029,2026-07-01,2026-07-01T23:05:49Z,216717.35,INR,PAID,IN,ACME_COMMERCE
ORD-000028,CUS-0027,2026-07-01,2026-07-01T23:09:25Z,225267.18,INR,PAID,IN,ACME_COMMERCE
ORD-000029,CUS-0029,2026-07-01,2026-07-01T23:03:38Z,41674.52,INR,PENDING,IN,ACME_COMMERCE
ORD-000030,CUS-0001,2026-07-01,2026-07-01T23:07:53Z,47485.28,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000031,CUS-0006,2026-07-01,2026-07-01T23:08:14Z,111197.44,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000032,CUS-0039,2026-07-01,2026-07-01T23:00:41Z,30152.45,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000033,CUS-0033,2026-07-01,2026-07-01T23:08:37Z,181365.17,INR,PENDING,IN,ACME_COMMERCE
ORD-000034,CUS-0001,2026-07-01,2026-07-01T23:00:43Z,247552.06,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000035,CUS-0033,2026-07-01,2026-07-01T23:09:21Z,80918.89,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000036,CUS-0033,2026-07-01,2026-07-01T23:07:18Z,10084.52,USD,CANCELLED,US,ACME_COMMERCE
ORD-000037,CUS-0006,2026-07-01,2026-07-01T23:08:59Z,95138.22,INR,PAID,IN,ACME_COMMERCE
ORD-000038,CUS-0026,2026-07-01,2026-07-01T23:00:40Z,247272.16,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000039,CUS-0009,2026-07-01,2026-07-01T23:09:23Z,244726.92,INR,PAID,IN,ACME_COMMERCE
ORD-000040,CUS-0021,2026-07-01,2026-07-01T23:04:40Z,192096.03,INR,PAID,IN,ACME_COMMERCE
ORD-000041,CUS-0006,2026-07-01,2026-07-01T23:06:37Z,106034.34,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000042,CUS-0014,2026-07-01,2026-07-01T23:01:08Z,90903.32,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000043,CUS-0024,2026-07-01,2026-07-01T23:09:55Z,77882.74,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000044,CUS-0025,2026-07-01,2026-07-01T23:03:41Z,79054.81,USD,REFUNDED,US,ACME_COMMERCE
ORD-000045,CUS-0011,2026-07-01,2026-07-01T23:07:46Z,6753.46,USD,CANCELLED,US,ACME_COMMERCE
ORD-000046,CUS-0021,2026-07-01,2026-07-01T23:03:28Z,81704.97,INR,PAID,IN,ACME_COMMERCE
ORD-000047,CUS-0009,2026-07-01,2026-07-01T23:06:37Z,214170.00,INR,PAID,IN,ACME_COMMERCE
ORD-000048,CUS-0039,2026-07-01,2026-07-01T23:04:14Z,199496.45,USD,REFUNDED,US,ACME_COMMERCE
ORD-000049,CUS-0032,2026-07-01,2026-07-01T23:02:27Z,8312.31,USD,CANCELLED,US,ACME_COMMERCE
ORD-000050,CUS-0004,2026-07-01,2026-07-01T23:07:37Z,109076.21,INR,PAID,IN,ACME_COMMERCE
ORD-000051,CUS-0028,2026-07-01,2026-07-01T23:05:18Z,99932.13,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000052,CUS-0003,2026-07-01,2026-07-01T23:04:20Z,151343.20,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000053,CUS-0026,2026-07-01,2026-07-01T23:00:26Z,683.14,INR,PENDING,IN,ACME_COMMERCE
ORD-000054,CUS-0010,2026-07-01,2026-07-01T23:08:50Z,146603.93,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000055,CUS-0021,2026-07-01,2026-07-01T23:01:26Z,169662.72,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000056,CUS-0026,2026-07-01,2026-07-01T23:00:35Z,47753.87,INR,PENDING,IN,ACME_COMMERCE
ORD-000057,CUS-0017,2026-07-01,2026-07-01T23:05:48Z,29595.42,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000058,CUS-0033,2026-07-01,2026-07-01T23:02:42Z,230524.27,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000059,CUS-0007,2026-07-01,2026-07-01T23:06:45Z,55802.96,INR,PENDING,IN,ACME_COMMERCE
ORD-000060,CUS-0032,2026-07-01,2026-07-01T23:02:09Z,532.48,USD,CANCELLED,US,ACME_COMMERCE
ORD-000061,CUS-0004,2026-07-01,2026-07-01T23:04:28Z,136206.36,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000062,CUS-0015,2026-07-01,2026-07-01T23:06:23Z,164357.68,INR,PENDING,IN,ACME_COMMERCE
ORD-000063,CUS-0039,2026-07-01,2026-07-01T23:01:16Z,60656.65,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000064,CUS-0013,2026-07-01,2026-07-01T23:04:52Z,107769.75,INR,PENDING,IN,ACME_COMMERCE
ORD-000065,CUS-0008,2026-07-01,2026-07-01T23:05:07Z,38265.95,USD,REFUNDED,US,ACME_COMMERCE
ORD-000066,CUS-0008,2026-07-01,2026-07-01T23:08:24Z,164342.74,INR,PENDING,IN,ACME_COMMERCE
ORD-000067,CUS-0021,2026-07-01,2026-07-01T23:06:59Z,35549.36,INR,PAID,IN,ACME_COMMERCE
ORD-000068,CUS-0001,2026-07-01,2026-07-01T23:09:38Z,207693.89,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000069,CUS-0028,2026-07-01,2026-07-01T23:01:20Z,217701.96,INR,PENDING,IN,ACME_COMMERCE
ORD-000070,CUS-0033,2026-07-01,2026-07-01T23:06:58Z,17702.95,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000071,CUS-0016,2026-07-01,2026-07-01T23:03:11Z,234819.11,INR,PENDING,IN,ACME_COMMERCE
ORD-000072,CUS-0021,2026-07-01,2026-07-01T23:00:46Z,52798.20,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000073,CUS-0016,2026-07-01,2026-07-01T23:02:04Z,131763.31,INR,PAID,IN,ACME_COMMERCE
ORD-000074,CUS-0007,2026-07-01,2026-07-01T23:03:22Z,128136.10,USD,CANCELLED,US,ACME_COMMERCE
ORD-000075,CUS-0019,2026-07-01,2026-07-01T23:04:48Z,33875.50,INR,PENDING,IN,ACME_COMMERCE
ORD-000076,CUS-0006,2026-07-01,2026-07-01T23:07:18Z,58639.93,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000077,CUS-0035,2026-07-01,2026-07-01T23:06:49Z,90839.97,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000078,CUS-0006,2026-07-01,2026-07-01T23:08:23Z,100946.88,USD,PENDING,US,ACME_COMMERCE
ORD-000079,CUS-0034,2026-07-01,2026-07-01T23:02:20Z,45212.48,INR,PENDING,IN,ACME_COMMERCE
ORD-000080,CUS-0027,2026-07-01,2026-07-01T23:08:39Z,59145.72,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000081,CUS-0010,2026-07-01,2026-07-01T23:03:29Z,230148.74,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000082,CUS-0026,2026-07-01,2026-07-01T23:02:39Z,61489.92,INR,PENDING,IN,ACME_COMMERCE
ORD-000083,CUS-0039,2026-07-01,2026-07-01T23:00:49Z,750.73,USD,PAID,US,ACME_COMMERCE
ORD-000084,CUS-0007,2026-07-01,2026-07-01T23:05:32Z,195228.66,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000085,CUS-0004,2026-07-01,2026-07-01T23:01:36Z,30217.48,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000086,CUS-0026,2026-07-01,2026-07-01T23:00:52Z,246751.30,INR,PENDING,IN,ACME_COMMERCE
ORD-000087,CUS-0018,2026-07-01,2026-07-01T23:01:36Z,74339.21,USD,PENDING,US,ACME_COMMERCE
ORD-000088,CUS-0020,2026-07-01,2026-07-01T23:03:06Z,26602.26,USD,PAID,US,ACME_COMMERCE
ORD-000089,CUS-0017,2026-07-01,2026-07-01T23:00:52Z,97387.50,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000090,CUS-0032,2026-07-01,2026-07-01T23:00:54Z,30608.27,INR,PAID,IN,ACME_COMMERCE
ORD-000091,CUS-0022,2026-07-01,2026-07-01T23:06:53Z,201873.36,USD,REFUNDED,US,ACME_COMMERCE
ORD-000092,CUS-0036,2026-07-01,2026-07-01T23:07:22Z,174738.66,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000093,CUS-0009,2026-07-01,2026-07-01T23:09:03Z,69550.88,INR,PAID,IN,ACME_COMMERCE
ORD-000094,CUS-0032,2026-07-01,2026-07-01T23:05:58Z,92345.20,USD,PENDING,US,ACME_COMMERCE
ORD-000095,CUS-0039,2026-07-01,2026-07-01T23:03:34Z,117356.98,INR,PAID,IN,ACME_COMMERCE
ORD-000096,CUS-0009,2026-07-01,2026-07-01T23:09:25Z,31552.46,USD,PENDING,US,ACME_COMMERCE
ORD-000097,CUS-0030,2026-07-01,2026-07-01T23:09:03Z,220417.18,INR,PAID,IN,ACME_COMMERCE
ORD-000098,CUS-0033,2026-07-01,2026-07-01T23:05:59Z,102421.19,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000099,CUS-0029,2026-07-01,2026-07-01T23:05:48Z,130205.00,INR,PAID,IN,ACME_COMMERCE
ORD-000100,CUS-0020,2026-07-01,2026-07-01T23:04:35Z,218238.28,USD,CANCELLED,US,ACME_COMMERCE
