"order_id","customer_id","order_date","exported_at","amount","currency","status","country_code","source_system"
"ORD-000232","CUS-0025","2026-07-03","2026-07-03T23:03:54Z","49971.68","INR","PAID","IN","ACME_COMMERCE"
"ORD-000293","CUS-0032","2026-07-03","2026-07-03T23:06:38Z","178660.72","INR","PAID","IN","ACME_COMMERCE"
"ORD-000265","CUS-0037","2026-07-03","2026-07-03T23:09:46Z","129074.57","INR","PAID","IN","ACME_COMMERCE"
"ORD-000269","CUS-0023","2026-07-03","2026-07-03T23:01:08Z","106620.87","INR","CANCELLED","IN","ACME_COMMERCE"
"ORD-000233","CUS-0014","2026-07-03","2026-07-03T23:01:19Z","125308.01","INR","PENDING","IN","ACME_COMMERCE"
"ORD-000230","CUS-0035","2026-07-03","2026-07-03T23:05:17Z","224011.71","INR","REFUNDED","IN","ACME_COMMERCE"
"ORD-000211","CUS-0038","2026-07-03","2026-07-03T23:04:29Z","223474.50","USD","PAID","US","ACME_COMMERCE"
"ORD-000215","CUS-0033","2026-07-03","2026-07-03T23:03:25Z","92812.30","INR","PAID","IN","ACME_COMMERCE"
"ORD-000274","CUS-0040","2026-07-03","2026-07-03T23:08:48Z","135317.62","USD","REFUNDED","US","ACME_COMMERCE"
"ORD-000246","CUS-0018","2026-07-03","2026-07-03T23:06:03Z","129052.80","USD","PAID","US","ACME_COMMERCE"
"ORD-000229","CUS-0040","2026-07-03","2026-07-03T23:00:01Z","138808.16","USD","CANCELLED","US","ACME_COMMERCE"
"ORD-000275","CUS-0012","2026-07-03","2026-07-03T23:03:19Z","236790.13","INR","REFUNDED","IN","ACME_COMMERCE"
"ORD-000239","CUS-0019","2026-07-03","2026-07-03T23:03:56Z","68675.65","INR","CANCELLED","IN","ACME_COMMERCE"
"ORD-000283","CUS-0027","2026-07-03","2026-07-03T23:09:25Z","110941.77","INR","PENDING","IN","ACME_COMMERCE"
"ORD-000258","CUS-0013","2026-07-03","2026-07-03T23:03:05Z","46165.88","INR","CANCELLED","IN","ACME_COMMERCE"
