order_id,customer_id,order_date,exported_at,amount,status,country_code,source_system
ORD-000201,CUS-0004,2026-07-03,2026-07-03T23:07:22Z,222341.61,CANCELLED,IN,ACME_COMMERCE
ORD-000202,CUS-0019,2026-07-03,2026-07-03T23:07:23Z,222086.73,CANCELLED,IN,ACME_COMMERCE
ORD-000203,CUS-0026,2026-07-03,2026-07-03T23:08:53Z,247178.61,PAID,IN,ACME_COMMERCE
ORD-000204,CUS-0008,2026-07-03,2026-07-03T23:01:59Z,241183.58,CANCELLED,IN,ACME_COMMERCE
ORD-000205,CUS-0032,2026-07-03,2026-07-03T23:05:55Z,114378.57,PAID,IN,ACME_COMMERCE
ORD-000206,CUS-0001,2026-07-03,2026-07-03T23:00:03Z,32907.58,PAID,IN,ACME_COMMERCE
ORD-000207,CUS-0009,2026-07-03,2026-07-03T23:02:41Z,21301.10,CANCELLED,IN,ACME_COMMERCE
ORD-000208,CUS-0001,2026-07-03,2026-07-03T23:02:44Z,238050.69,PENDING,IN,ACME_COMMERCE
ORD-000209,CUS-0005,2026-07-03,2026-07-03T23:02:52Z,233269.71,PENDING,IN,ACME_COMMERCE
ORD-000210,CUS-0009,2026-07-03,2026-07-03T23:01:43Z,53459.46,PENDING,US,ACME_COMMERCE
ORD-000211,CUS-0038,2026-07-03,2026-07-03T23:04:29Z,223474.50,PAID,US,ACME_COMMERCE
ORD-000212,CUS-0029,2026-07-03,2026-07-03T23:04:36Z,150569.91,REFUNDED,US,ACME_COMMERCE
ORD-000213,CUS-0027,2026-07-03,2026-07-03T23:02:32Z,181657.24,CANCELLED,US,ACME_COMMERCE
ORD-000214,CUS-0011,2026-07-03,2026-07-03T23:06:16Z,39593.71,CANCELLED,IN,ACME_COMMERCE
ORD-000215,CUS-0033,2026-07-03,2026-07-03T23:03:25Z,92812.30,PAID,IN,ACME_COMMERCE
ORD-000216,CUS-0017,2026-07-03,2026-07-03T23:03:55Z,106577.64,CANCELLED,IN,ACME_COMMERCE
ORD-000217,CUS-0028,2026-07-03,2026-07-03T23:02:23Z,28935.94,CANCELLED,IN,ACME_COMMERCE
ORD-000218,CUS-0031,2026-07-03,2026-07-03T23:09:42Z,82779.12,PENDING,US,ACME_COMMERCE
ORD-000219,CUS-0020,2026-07-03,2026-07-03T23:07:54Z,31867.68,PAID,IN,ACME_COMMERCE
ORD-000220,CUS-0006,2026-07-03,2026-07-03T23:00:19Z,155919.21,CANCELLED,IN,ACME_COMMERCE
ORD-000221,CUS-0006,2026-07-03,2026-07-03T23:08:44Z,16469.12,CANCELLED,IN,ACME_COMMERCE
ORD-000222,CUS-0026,2026-07-03,2026-07-03T23:00:05Z,20066.60,PAID,IN,ACME_COMMERCE
ORD-000223,CUS-0022,2026-07-03,2026-07-03T23:02:05Z,91552.70,PENDING,IN,ACME_COMMERCE
ORD-000224,CUS-0035,2026-07-03,2026-07-03T23:06:50Z,94610.23,REFUNDED,IN,ACME_COMMERCE
ORD-000225,CUS-0034,2026-07-03,2026-07-03T23:03:22Z,143900.14,REFUNDED,IN,ACME_COMMERCE
ORD-000226,CUS-0036,2026-07-03,2026-07-03T23:07:42Z,33631.47,REFUNDED,IN,ACME_COMMERCE
ORD-000227,CUS-0024,2026-07-03,2026-07-03T23:01:49Z,156861.18,REFUNDED,IN,ACME_COMMERCE
ORD-000228,CUS-0028,2026-07-03,2026-07-03T23:06:55Z,121152.00,PAID,IN,ACME_COMMERCE
ORD-000229,CUS-0040,2026-07-03,2026-07-03T23:00:01Z,138808.16,CANCELLED,US,ACME_COMMERCE
ORD-000230,CUS-0035,2026-07-03,2026-07-03T23:05:17Z,224011.71,REFUNDED,IN,ACME_COMMERCE
ORD-000231,CUS-0030,2026-07-03,2026-07-03T23:01:56Z,178297.20,REFUNDED,IN,ACME_COMMERCE
ORD-000232,CUS-0025,2026-07-03,2026-07-03T23:03:54Z,49971.68,PAID,IN,ACME_COMMERCE
ORD-000233,CUS-0014,2026-07-03,2026-07-03T23:01:19Z,125308.01,PENDING,IN,ACME_COMMERCE
ORD-000234,CUS-0002,2026-07-03,2026-07-03T23:06:54Z,140639.67,PAID,US,ACME_COMMERCE
ORD-000235,CUS-0015,2026-07-03,2026-07-03T23:07:47Z,77665.59,CANCELLED,US,ACME_COMMERCE
ORD-000236,CUS-0039,2026-07-03,2026-07-03T23:08:31Z,25690.72,PAID,IN,ACME_COMMERCE
ORD-000237,CUS-0019,2026-07-03,2026-07-03T23:05:17Z,40366.62,PAID,IN,ACME_COMMERCE
ORD-000238,CUS-0040,2026-07-03,2026-07-03T23:09:25Z,26853.88,CANCELLED,IN,ACME_COMMERCE
ORD-000239,CUS-0019,2026-07-03,2026-07-03T23:03:56Z,68675.65,CANCELLED,IN,ACME_COMMERCE
ORD-000240,CUS-0027,2026-07-03,2026-07-03T23:07:16Z,133588.29,PAID,IN,ACME_COMMERCE
ORD-000241,CUS-0015,2026-07-03,2026-07-03T23:06:48Z,48181.93,PENDING,IN,ACME_COMMERCE
ORD-000242,CUS-0015,2026-07-03,2026-07-03T23:04:00Z,150560.64,CANCELLED,IN,ACME_COMMERCE
ORD-000243,CUS-0037,2026-07-03,2026-07-03T23:09:50Z,28969.43,REFUNDED,IN,ACME_COMMERCE
ORD-000244,CUS-0029,2026-07-03,2026-07-03T23:04:22Z,189983.17,CANCELLED,IN,ACME_COMMERCE
ORD-000245,CUS-0016,2026-07-03,2026-07-03T23:03:53Z,95369.51,CANCELLED,IN,ACME_COMMERCE
ORD-000246,CUS-0018,2026-07-03,2026-07-03T23:06:03Z,129052.80,PAID,US,ACME_COMMERCE
ORD-000247,CUS-0012,2026-07-03,2026-07-03T23:05:10Z,209129.13,REFUNDED,IN,ACME_COMMERCE
ORD-000248,CUS-0023,2026-07-03,2026-07-03T23:07:02Z,67783.08,PENDING,IN,ACME_COMMERCE
ORD-000249,CUS-0032,2026-07-03,2026-07-03T23:02:43Z,37929.52,PENDING,IN,ACME_COMMERCE
ORD-000250,CUS-0021,2026-07-03,2026-07-03T23:07:42Z,84372.60,CANCELLED,IN,ACME_COMMERCE
ORD-000251,CUS-0014,2026-07-03,2026-07-03T23:02:39Z,189572.64,PAID,IN,ACME_COMMERCE
ORD-000252,CUS-0002,2026-07-03,2026-07-03T23:09:53Z,109033.54,CANCELLED,IN,ACME_COMMERCE
ORD-000253,CUS-0004,2026-07-03,2026-07-03T23:02:05Z,75428.94,PAID,IN,ACME_COMMERCE
ORD-000254,CUS-0003,2026-07-03,2026-07-03T23:06:40Z,89798.74,CANCELLED,IN,ACME_COMMERCE
ORD-000255,CUS-0037,2026-07-03,2026-07-03T23:09:33Z,130806.39,PAID,IN,ACME_COMMERCE
ORD-000256,CUS-0011,2026-07-03,2026-07-03T23:00:27Z,229244.78,PENDING,IN,ACME_COMMERCE
ORD-000257,CUS-0030,2026-07-03,2026-07-03T23:02:45Z,207226.05,REFUNDED,IN,ACME_COMMERCE
ORD-000258,CUS-0013,2026-07-03,2026-07-03T23:03:05Z,46165.88,CANCELLED,IN,ACME_COMMERCE
ORD-000259,CUS-0017,2026-07-03,2026-07-03T23:02:23Z,127328.33,REFUNDED,IN,ACME_COMMERCE
ORD-000260,CUS-0025,2026-07-03,2026-07-03T23:02:00Z,69353.24,CANCELLED,IN,ACME_COMMERCE
ORD-000261,CUS-0037,2026-07-03,2026-07-03T23:07:12Z,186590.95,PAID,IN,ACME_COMMERCE
ORD-000262,CUS-0036,2026-07-03,2026-07-03T23:08:42Z,103677.92,REFUNDED,IN,ACME_COMMERCE
ORD-000263,CUS-0016,2026-07-03,2026-07-03T23:05:49Z,36334.66,REFUNDED,IN,ACME_COMMERCE
ORD-000264,CUS-0007,2026-07-03,2026-07-03T23:02:56Z,151830.66,PAID,US,ACME_COMMERCE
ORD-000265,CUS-0037,2026-07-03,2026-07-03T23:09:46Z,129074.57,PAID,IN,ACME_COMMERCE
ORD-000266,CUS-0038,2026-07-03,2026-07-03T23:07:13Z,36002.65,PENDING,IN,ACME_COMMERCE
ORD-000267,CUS-0031,2026-07-03,2026-07-03T23:07:02Z,202206.35,PAID,IN,ACME_COMMERCE
ORD-000268,CUS-0028,2026-07-03,2026-07-03T23:06:50Z,128167.40,PAID,IN,ACME_COMMERCE
ORD-000269,CUS-0023,2026-07-03,2026-07-03T23:01:08Z,106620.87,CANCELLED,IN,ACME_COMMERCE
ORD-000270,CUS-0007,2026-07-03,2026-07-03T23:06:35Z,130194.70,PENDING,IN,ACME_COMMERCE
ORD-000271,CUS-0038,2026-07-03,2026-07-03T23:07:45Z,226263.17,REFUNDED,US,ACME_COMMERCE
ORD-000272,CUS-0007,2026-07-03,2026-07-03T23:08:48Z,100011.44,PENDING,IN,ACME_COMMERCE
ORD-000273,CUS-0026,2026-07-03,2026-07-03T23:10:00Z,66093.51,PENDING,US,ACME_COMMERCE
ORD-000274,CUS-0040,2026-07-03,2026-07-03T23:08:48Z,135317.62,REFUNDED,US,ACME_COMMERCE
ORD-000275,CUS-0012,2026-07-03,2026-07-03T23:03:19Z,236790.13,REFUNDED,IN,ACME_COMMERCE
ORD-000276,CUS-0034,2026-07-03,2026-07-03T23:08:49Z,179395.84,CANCELLED,IN,ACME_COMMERCE
ORD-000277,CUS-0004,2026-07-03,2026-07-03T23:09:58Z,96158.11,PAID,IN,ACME_COMMERCE
ORD-000278,CUS-0017,2026-07-03,2026-07-03T23:05:20Z,64798.25,PENDING,IN,ACME_COMMERCE
ORD-000279,CUS-0031,2026-07-03,2026-07-03T23:08:20Z,174752.86,REFUNDED,IN,ACME_COMMERCE
ORD-000280,CUS-0021,2026-07-03,2026-07-03T23:00:48Z,245073.69,PAID,IN,ACME_COMMERCE
ORD-000281,CUS-0012,2026-07-03,2026-07-03T23:01:56Z,146921.63,REFUNDED,IN,ACME_COMMERCE
ORD-000282,CUS-0030,2026-07-03,2026-07-03T23:05:45Z,9623.42,PENDING,IN,ACME_COMMERCE
ORD-000283,CUS-0027,2026-07-03,2026-07-03T23:09:25Z,110941.77,PENDING,IN,ACME_COMMERCE
ORD-000284,CUS-0030,2026-07-03,2026-07-03T23:09:43Z,245860.61,REFUNDED,US,ACME_COMMERCE
ORD-000285,CUS-0032,2026-07-03,2026-07-03T23:09:28Z,216477.62,PENDING,IN,ACME_COMMERCE
ORD-000286,CUS-0020,2026-07-03,2026-07-03T23:09:56Z,99841.16,CANCELLED,US,ACME_COMMERCE
ORD-000287,CUS-0007,2026-07-03,2026-07-03T23:09:35Z,103003.83,PAID,US,ACME_COMMERCE
ORD-000288,CUS-0024,2026-07-03,2026-07-03T23:08:59Z,102384.69,PENDING,IN,ACME_COMMERCE
ORD-000289,CUS-0031,2026-07-03,2026-07-03T23:00:08Z,62056.44,PAID,IN,ACME_COMMERCE
ORD-000290,CUS-0010,2026-07-03,2026-07-03T23:01:25Z,207531.50,PAID,IN,ACME_COMMERCE
ORD-000291,CUS-0004,2026-07-03,2026-07-03T23:05:56Z,60689.10,CANCELLED,IN,ACME_COMMERCE
ORD-000292,CUS-0021,2026-07-03,2026-07-03T23:05:54Z,187717.75,PAID,IN,ACME_COMMERCE
ORD-000293,CUS-0032,2026-07-03,2026-07-03T23:06:38Z,178660.72,PAID,IN,ACME_COMMERCE
ORD-000294,CUS-0016,2026-07-03,2026-07-03T23:03:25Z,143162.18,PENDING,IN,ACME_COMMERCE
ORD-000295,CUS-0026,2026-07-03,2026-07-03T23:09:39Z,152625.98,CANCELLED,IN,ACME_COMMERCE
