order_id,customer_id,order_date,exported_at,amount_in_paise,currency,status,country_code,source_system
ORD-000201,CUS-0004,2026-07-03,2026-07-03T23:07:22Z,22234161,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000202,CUS-0019,2026-07-03,2026-07-03T23:07:23Z,22208673,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000203,CUS-0026,2026-07-03,2026-07-03T23:08:53Z,24717861,INR,PAID,IN,ACME_COMMERCE
ORD-000204,CUS-0008,2026-07-03,2026-07-03T23:01:59Z,24118358,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000205,CUS-0032,2026-07-03,2026-07-03T23:05:55Z,11437857,INR,PAID,IN,ACME_COMMERCE
ORD-000206,CUS-0001,2026-07-03,2026-07-03T23:00:03Z,3290758,INR,PAID,IN,ACME_COMMERCE
ORD-000207,CUS-0009,2026-07-03,2026-07-03T23:02:41Z,2130110,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000208,CUS-0001,2026-07-03,2026-07-03T23:02:44Z,23805069,INR,PENDING,IN,ACME_COMMERCE
ORD-000209,CUS-0005,2026-07-03,2026-07-03T23:02:52Z,23326971,INR,PENDING,IN,ACME_COMMERCE
ORD-000210,CUS-0009,2026-07-03,2026-07-03T23:01:43Z,5345946,USD,PENDING,US,ACME_COMMERCE
ORD-000211,CUS-0038,2026-07-03,2026-07-03T23:04:29Z,22347450,USD,PAID,US,ACME_COMMERCE
ORD-000212,CUS-0029,2026-07-03,2026-07-03T23:04:36Z,15056991,USD,REFUNDED,US,ACME_COMMERCE
ORD-000213,CUS-0027,2026-07-03,2026-07-03T23:02:32Z,18165724,USD,CANCELLED,US,ACME_COMMERCE
ORD-000214,CUS-0011,2026-07-03,2026-07-03T23:06:16Z,3959371,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000215,CUS-0033,2026-07-03,2026-07-03T23:03:25Z,9281230,INR,PAID,IN,ACME_COMMERCE
ORD-000216,CUS-0017,2026-07-03,2026-07-03T23:03:55Z,10657764,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000217,CUS-0028,2026-07-03,2026-07-03T23:02:23Z,2893594,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000218,CUS-0031,2026-07-03,2026-07-03T23:09:42Z,8277912,USD,PENDING,US,ACME_COMMERCE
ORD-000219,CUS-0020,2026-07-03,2026-07-03T23:07:54Z,3186768,INR,PAID,IN,ACME_COMMERCE
ORD-000220,CUS-0006,2026-07-03,2026-07-03T23:00:19Z,15591921,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000221,CUS-0006,2026-07-03,2026-07-03T23:08:44Z,1646912,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000222,CUS-0026,2026-07-03,2026-07-03T23:00:05Z,2006660,INR,PAID,IN,ACME_COMMERCE
ORD-000223,CUS-0022,2026-07-03,2026-07-03T23:02:05Z,9155270,INR,PENDING,IN,ACME_COMMERCE
ORD-000224,CUS-0035,2026-07-03,2026-07-03T23:06:50Z,9461023,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000225,CUS-0034,2026-07-03,2026-07-03T23:03:22Z,14390014,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000226,CUS-0036,2026-07-03,2026-07-03T23:07:42Z,3363147,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000227,CUS-0024,2026-07-03,2026-07-03T23:01:49Z,15686118,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000228,CUS-0028,2026-07-03,2026-07-03T23:06:55Z,12115200,INR,PAID,IN,ACME_COMMERCE
ORD-000229,CUS-0040,2026-07-03,2026-07-03T23:00:01Z,13880816,USD,CANCELLED,US,ACME_COMMERCE
ORD-000230,CUS-0035,2026-07-03,2026-07-03T23:05:17Z,22401171,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000231,CUS-0030,2026-07-03,2026-07-03T23:01:56Z,17829720,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000232,CUS-0025,2026-07-03,2026-07-03T23:03:54Z,4997168,INR,PAID,IN,ACME_COMMERCE
ORD-000233,CUS-0014,2026-07-03,2026-07-03T23:01:19Z,12530801,INR,PENDING,IN,ACME_COMMERCE
ORD-000234,CUS-0002,2026-07-03,2026-07-03T23:06:54Z,14063967,USD,PAID,US,ACME_COMMERCE
ORD-000235,CUS-0015,2026-07-03,2026-07-03T23:07:47Z,7766559,USD,CANCELLED,US,ACME_COMMERCE
ORD-000236,CUS-0039,2026-07-03,2026-07-03T23:08:31Z,2569072,INR,PAID,IN,ACME_COMMERCE
ORD-000237,CUS-0019,2026-07-03,2026-07-03T23:05:17Z,4036662,INR,PAID,IN,ACME_COMMERCE
ORD-000238,CUS-0040,2026-07-03,2026-07-03T23:09:25Z,2685388,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000239,CUS-0019,2026-07-03,2026-07-03T23:03:56Z,6867565,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000240,CUS-0027,2026-07-03,2026-07-03T23:07:16Z,13358829,INR,PAID,IN,ACME_COMMERCE
ORD-000241,CUS-0015,2026-07-03,2026-07-03T23:06:48Z,4818193,INR,PENDING,IN,ACME_COMMERCE
ORD-000242,CUS-0015,2026-07-03,2026-07-03T23:04:00Z,15056064,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000243,CUS-0037,2026-07-03,2026-07-03T23:09:50Z,2896943,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000244,CUS-0029,2026-07-03,2026-07-03T23:04:22Z,18998317,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000245,CUS-0016,2026-07-03,2026-07-03T23:03:53Z,9536951,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000246,CUS-0018,2026-07-03,2026-07-03T23:06:03Z,12905280,USD,PAID,US,ACME_COMMERCE
ORD-000247,CUS-0012,2026-07-03,2026-07-03T23:05:10Z,20912913,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000248,CUS-0023,2026-07-03,2026-07-03T23:07:02Z,6778308,INR,PENDING,IN,ACME_COMMERCE
ORD-000249,CUS-0032,2026-07-03,2026-07-03T23:02:43Z,3792952,INR,PENDING,IN,ACME_COMMERCE
ORD-000250,CUS-0021,2026-07-03,2026-07-03T23:07:42Z,8437260,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000251,CUS-0014,2026-07-03,2026-07-03T23:02:39Z,18957264,INR,PAID,IN,ACME_COMMERCE
ORD-000252,CUS-0002,2026-07-03,2026-07-03T23:09:53Z,10903354,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000253,CUS-0004,2026-07-03,2026-07-03T23:02:05Z,7542894,INR,PAID,IN,ACME_COMMERCE
ORD-000254,CUS-0003,2026-07-03,2026-07-03T23:06:40Z,8979874,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000255,CUS-0037,2026-07-03,2026-07-03T23:09:33Z,13080639,INR,PAID,IN,ACME_COMMERCE
ORD-000256,CUS-0011,2026-07-03,2026-07-03T23:00:27Z,22924478,INR,PENDING,IN,ACME_COMMERCE
ORD-000257,CUS-0030,2026-07-03,2026-07-03T23:02:45Z,20722605,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000258,CUS-0013,2026-07-03,2026-07-03T23:03:05Z,4616588,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000259,CUS-0017,2026-07-03,2026-07-03T23:02:23Z,12732833,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000260,CUS-0025,2026-07-03,2026-07-03T23:02:00Z,6935324,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000261,CUS-0037,2026-07-03,2026-07-03T23:07:12Z,18659095,INR,PAID,IN,ACME_COMMERCE
ORD-000262,CUS-0036,2026-07-03,2026-07-03T23:08:42Z,10367792,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000263,CUS-0016,2026-07-03,2026-07-03T23:05:49Z,3633466,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000264,CUS-0007,2026-07-03,2026-07-03T23:02:56Z,15183066,USD,PAID,US,ACME_COMMERCE
ORD-000265,CUS-0037,2026-07-03,2026-07-03T23:09:46Z,12907457,INR,PAID,IN,ACME_COMMERCE
ORD-000266,CUS-0038,2026-07-03,2026-07-03T23:07:13Z,3600265,INR,PENDING,IN,ACME_COMMERCE
ORD-000267,CUS-0031,2026-07-03,2026-07-03T23:07:02Z,20220635,INR,PAID,IN,ACME_COMMERCE
ORD-000268,CUS-0028,2026-07-03,2026-07-03T23:06:50Z,12816740,INR,PAID,IN,ACME_COMMERCE
ORD-000269,CUS-0023,2026-07-03,2026-07-03T23:01:08Z,10662087,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000270,CUS-0007,2026-07-03,2026-07-03T23:06:35Z,13019470,INR,PENDING,IN,ACME_COMMERCE
ORD-000271,CUS-0038,2026-07-03,2026-07-03T23:07:45Z,22626317,USD,REFUNDED,US,ACME_COMMERCE
ORD-000272,CUS-0007,2026-07-03,2026-07-03T23:08:48Z,10001144,INR,PENDING,IN,ACME_COMMERCE
ORD-000273,CUS-0026,2026-07-03,2026-07-03T23:10:00Z,6609351,USD,PENDING,US,ACME_COMMERCE
ORD-000274,CUS-0040,2026-07-03,2026-07-03T23:08:48Z,13531762,USD,REFUNDED,US,ACME_COMMERCE
ORD-000275,CUS-0012,2026-07-03,2026-07-03T23:03:19Z,23679013,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000276,CUS-0034,2026-07-03,2026-07-03T23:08:49Z,17939584,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000277,CUS-0004,2026-07-03,2026-07-03T23:09:58Z,9615811,INR,PAID,IN,ACME_COMMERCE
ORD-000278,CUS-0017,2026-07-03,2026-07-03T23:05:20Z,6479825,INR,PENDING,IN,ACME_COMMERCE
ORD-000279,CUS-0031,2026-07-03,2026-07-03T23:08:20Z,17475286,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000280,CUS-0021,2026-07-03,2026-07-03T23:00:48Z,24507369,INR,PAID,IN,ACME_COMMERCE
ORD-000281,CUS-0012,2026-07-03,2026-07-03T23:01:56Z,14692163,INR,REFUNDED,IN,ACME_COMMERCE
ORD-000282,CUS-0030,2026-07-03,2026-07-03T23:05:45Z,962342,INR,PENDING,IN,ACME_COMMERCE
ORD-000283,CUS-0027,2026-07-03,2026-07-03T23:09:25Z,11094177,INR,PENDING,IN,ACME_COMMERCE
ORD-000284,CUS-0030,2026-07-03,2026-07-03T23:09:43Z,24586061,USD,REFUNDED,US,ACME_COMMERCE
ORD-000285,CUS-0032,2026-07-03,2026-07-03T23:09:28Z,21647762,INR,PENDING,IN,ACME_COMMERCE
ORD-000286,CUS-0020,2026-07-03,2026-07-03T23:09:56Z,9984116,USD,CANCELLED,US,ACME_COMMERCE
ORD-000287,CUS-0007,2026-07-03,2026-07-03T23:09:35Z,10300383,USD,PAID,US,ACME_COMMERCE
ORD-000288,CUS-0024,2026-07-03,2026-07-03T23:08:59Z,10238469,INR,PENDING,IN,ACME_COMMERCE
ORD-000289,CUS-0031,2026-07-03,2026-07-03T23:00:08Z,6205644,INR,PAID,IN,ACME_COMMERCE
ORD-000290,CUS-0010,2026-07-03,2026-07-03T23:01:25Z,20753150,INR,PAID,IN,ACME_COMMERCE
ORD-000291,CUS-0004,2026-07-03,2026-07-03T23:05:56Z,6068910,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000292,CUS-0021,2026-07-03,2026-07-03T23:05:54Z,18771775,INR,PAID,IN,ACME_COMMERCE
ORD-000293,CUS-0032,2026-07-03,2026-07-03T23:06:38Z,17866072,INR,PAID,IN,ACME_COMMERCE
ORD-000294,CUS-0016,2026-07-03,2026-07-03T23:03:25Z,14316218,INR,PENDING,IN,ACME_COMMERCE
ORD-000295,CUS-0026,2026-07-03,2026-07-03T23:09:39Z,15262598,INR,CANCELLED,IN,ACME_COMMERCE
ORD-000296,CUS-0011,2026-07-03,2026-07-03T23:05:47Z,5527068,INR,PAID,IN,ACME_COMMERCE
